id,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
251,Casual,low,4.7,S,summer,o-neck,full,natural,cotton,?,?,patchwork,1
252,cute,Low,0,free,Summer,boat-neck,sleevless,?,cotton,?,?,print,1
253,party,very-high,5,M,Spring,slash-neck,sleevless,natural,chiffonfabric,chiffon,flowers,?,2
254,Casual,Average,4.9,M,Automn,v-neck,sleevless,?,polyster,?,?,?,2
255,party,very-high,0,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,?,1
256,party,very-high,0,M,Winter,v-neck,cap-sleeves,?,?,chiffon,lace,?,1
257,Casual,Low,4.4,M,Winter,v-neck,turndowncollor,?,cotton,?,?,?,2
258,party,very-high,0,M,Spring,v-neck,threequater,natural,lycra,sattin,applique,?,2
259,party,high,0,M,Winter,Sweetheart,sleevless,natural,?,?,pearls,?,1
260,party,high,0,M,Spring,Sweetheart,sleevless,?,nylon,?,?,?,1
261,party,Average,5,M,Winter,o-neck,capsleeves,empire,polyster,?,lace,?,2
262,party,high,4.7,M,Winter,sweetheart,sleeveless,natural,?,chiffon,flowers,?,1
263,party,?,4.8,free,Winter,o-neck,sleevless,empire,?,?,embroidary,?,2
264,party,?,4.5,L,Summer,?,full,?,?,?,?,?,2
265,party,very-high,4.9,M,Spring,Sweetheart,sleeevless,empire,?,chiffon,beading,?,2
266,party,high,4.6,M,winter,Sweetheart,sleevless,natural,?,chiffon,?,?,1
267,party,Average,5,M,Spring,Sweetheart,sleevless,natural,polyster,?,?,?,2
268,party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,?,2
269,party,very-high,0,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,?,2
270,party,high,4.6,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,?,1
271,party,Average,4.8,L,?,Sweetheart,sleevless,empire,?,?,pleat,?,2
272,party,Medium,4.6,S,Winter,Scoop,short,empire,?,?,crystal,?,1
273,party,very-high,4.9,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,?,2
274,party,Medium,4.8,S,Spring,v-neck,sleevless,empire,?,?,?,?,2
275,party,very-high,4.2,L,Winter,v-neck,sleevless,?,?,?,lace,?,2
276,Casual,Low,4.4,free,Summer,o-neck,sleevless,?,?,?,?,?,2
277,party,very-high,4.1,M,Winter,Scoop,short,natural,cotton,lace,applique,?,2
278,party,very-high,0,M,Winter,o-neck,full,natural,?,?,feathers,?,2
279,Casual,high,4.6,M,Summer,Sweetheart,sleevless,empire,?,?,beading,?,2
280,party,Average,4.7,free,Winter,o-neck,sleevless,?,polyster,?,?,?,1
281,party,very-high,4.7,L,Winter,slash-neck,sleevless,empire,viscos,chiffon,beading,?,2
282,party,very-high,4.5,M,Spring,v-neck,cap-sleeves,?,?,?,lace,?,2
283,party,Average,4.7,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid,2
284,party,high,4.8,M,Summer,Sweetheart,sleevless,princess,?,sattin,?,?,2
285,party,high,4.6,M,Summer,slash-neck,sleevless,natural,?,chiffon,?,?,2
286,party,Medium,4.7,M,Winter,o-neck,sleevless,empire,cotton,chiffon,button,?,2
287,cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid,2
288,party,Average,5,M,Spring,o-neck,sleevless,?,?,?,?,?,2
289,party,very-high,4.8,free,Spring,Sweetheart,sleevless,natural,polyster,chiffon,beading,?,2
290,party,Medium,4.8,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,?,2
291,party,very-high,4.9,L,Spring,slash-neck,sleevless,?,?,chiffon,flowers,?,2
292,party,Medium,0,free,Winter,v-neck,short,empire,?,chiffon,lace,?,2
293,work,Average,5,free,Winter,o-neck,half,?,microfiber,?,?,?,1
294,party,very-high,4.9,M,Spring,v-neck,sleevless,empire,?,sattin,beading,?,2
295,Casual,high,5,free,Summer,v-neck,sleevless,natural,nylon,?,?,?,2
296,Casual,very-high,0,small,Spring,o-neck,full,?,?,chiffon,applique,?,1
297,Casual,Medium,4.7,M,Spring,o-neck,sleevless,natural,cotton,?,bow,?,2
298,party,Average,0,M,Spring,v-neck,sleevless,natural,?,?,?,?,2
299,Casual,Average,4.4,free,Summer,slash-neck,sleevless,empire,cotton,?,?,?,2
300,Casual,very-high,4.6,M,winter,o-neck,short,natural,?,?,flowers,?,2
301,Casual,Low,4.4,free,winter,halter,sleevless,natural,?,?,draped,?,2
302,party,high,4.5,M,winter,o-neck,sleevless,?,?,?,?,?,2
303,Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,?,?,?,?,1
304,Sexy,Average,5,M,Summer,o-neck,sleeveless,natural,polyster,broadcloth,rivet,?,1
305,vintage,Average,4.9,free,Summer,o-neck,urndowncollor,empire,?,?,?,?,1
306,vintage,Average,4.7,S,Summer,turndowncollor,short,empire,cotton,?,?,?,1
307,work,Average,4.9,M,Summer,sqare-collor,halfsleeve,empire,polyster,sattin,sashes,?,1
308,Casual,low,4.7,L,Spring,o-neck,short,natural,chiffonfabric,chiffon,?,?,1
309,Casual,Average,4.8,L,Automn,o-neck,short,natural,cashmere,?,?,?,1
310,Sexy,low,4.7,free,Spring,v-neck,sleeveless,?,?,?,sequined,?,2
311,Casual,Average,0,S,Winter,slash-neck,halfsleeve,natural,nylon,broadcloth,?,?,1
312,Casual,Average,4.2,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,patchwork,1
313,Novelty,Average,0,free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid,1
314,Casual,Low,4.3,free,Summer,backless,sleevless,empire,chiffonfabric,chiffon,crystal,?,1
315,Casual,Average,3.7,M,Summer,boat-neck,sleevless,natural,linen,?,?,?,1
316,Casual,Average,5,free,winter,o-neck,sleevless,natural,polyster,broadcloth,lace,?,2
317,Sexy,low,5,free,Spring,v-neck,sleevless,empire,?,chiffon,?,?,1
318,cute,Low,0,free,Winter,o-neck,sleevless,natural,?,chiffon,?,?,1
319,vintage,Average,4.8,M,Summer,v-neck,full,natural,rayon,poplin,?,?,2
320,bohemian,Average,4.8,L,Winter,o-neck,sleevless,natural,polyster,chiffon,?,solid,1
321,bohemian,Average,0,free,Spring,o-neck,sleevless,natural,rayon,chiffon,?,striped,2
322,Sexy,Average,4.5,M,Summer,bowneck,sleevless,?,cotton,chiffon,?,solid,1
323,Novelty,Medium,4.2,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,animal,2
324,Casual,Low,5,free,Spring,v-neck,full,natural,cotton,?,?,solid,2
325,Casual,Average,5,L,Winter,o-neck,thressqatar,natural,polyster,?,applique,solid,1
326,Casual,Low,4.8,M,Winter,v-neck,sleevless,natural,polyster,?,?,print,1
327,bohemian,Low,5,free,Spring,o-neck,short,natural,nylon,jersey,sashes,print,2
328,Casual,low,5,free,Spring,bowneck,sleevless,natural,silk,chiffon,applique,print,1
329,Casual,Low,5,M,Spring,o-neck,sleeevless,natural,chiffonfabric,chiffon,?,solid,2
330,cute,Average,4.3,M,Summer,?,?,natural,cotton,chiffon,?,solid,1
331,Novelty,Average,0,free,winter,o-neck,short,natural,polyster,broadcloth,lace,?,2
332,cute,low,0,L,Spring,o-neck,sleevless,empire,?,?,?,?,2
333,Sexy,Low,4.8,free,Spring,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,1
334,Sexy,Low,4.8,free,Summer,slash-neck,sleevless,empire,silk,?,lace,solid,1
335,Casual,Low,4.4,M,Winter,o-neck,sleevless,natural,polyster,?,?,solid,1
336,Casual,Average,4.5,M,Winter,o-neck,sleevless,natural,polyster,chiffon,ruched,striped,1
337,Casual,Low,4.7,S,Summer,o-neck,full,natural,cotton,?,?,patchwork,1
338,Casual,low,4.4,free,Spring,o-neck,sleevless,natural,polyster,?,sashes,print,1
339,work,Average,4.9,M,Winter,slash-neck,short,natural,polyster,broadcloth,ruffles,solid,1
340,cute,Medium,4.6,free,Spring,o-neck,short,natural,chiffonfabric,?,hollowout,solid,2
341,Casual,Low,4.7,free,Spring,o-neck,halfsleeve,natural,silk,chiffon,sashes,print,1
342,Casual,Low,4.7,M,Winter,o-neck,full,empire,polyster,chiffon,?,print,2
343,Casual,Average,4.8,M,Spring,o-neck,sleevless,natural,cotton,chiffon,hollowout,print,1
344,Sexy,Low,4.8,L,Summer,o-neck,sleevless,natural,cotton,?,?,solid,2
345,Casual,Average,4.3,M,Spring,o-neck,halfsleeve,?,?,?,?,?,2
346,Casual,Average,4.7,XL,winter,v-neck,short,empire,milksilk,?,?,print,1
347,Casual,Low,0,L,winter,v-neck,full,?,?,?,?,solid,1
348,Sexy,Average,4.7,M,Automn,slash-neck,sleevless,natural,nylon,?,rivet,solid,1
349,Casual,Low,4.7,free,winter,o-neck,sleevless,natural,?,?,?,?,2
350,Casual,high,0,L,winter,v-neck,full,?,polyster,?,?,solid,1
351,Casual,Low,4.7,L,Summer,o-neck,sleevless,natural,silk,worsted,lace,patchwork,1
352,Casual,Average,4.7,free,Summer,v-neck,full,natural,cotton,?,sashes,solid,1
353,Casual,Average,0,free,Winter,v-neck,full,?,cashmere,?,?,solid,2
354,Casual,low,4.7,free,Summer,o-neck,capsleeves,natural,chiffonfabric,chiffon,?,print,2
355,Casual,Average,4.7,M,Summer,o-neck,thressqatar,?,chiffonfabric,chiffon,ruched,solid,1
356,Sexy,low,4.5,free,Summer,slash-neck,sleevless,?,polyster,Corduroy,?,?,1
357,vintage,low,4,free,Summer,turndowncollor,short,natural,cotton,wollen,hollowout,solid,1
358,Sexy,low,4.7,free,Summer,v-neck,sleevless,?,?,?,?,?,1
359,bohemian,low,5,free,Summer,o-neck,sleevless,empire,cotton,broadcloth,tassel,print,2
360,Casual,low,4.7,S,Winter,o-neck,sleeevless,natural,knitting,?,lace,solid,1
361,Sexy,Average,4.5,S,Winter,v-neck,sleevless,?,polyster,?,?,?,1
362,cute,Average,4.7,M,Summer,o-neck,sleevless,natural,chiffonfabric,?,sashes,splice,1
363,vintage,Low,0,free,Summer,o-neck,sleevless,natural,cotton,batik,?,print,2
364,Casual,Average,4.1,L,winter,o-neck,sleevless,natural,polyster,?,?,?,2
365,Casual,Average,4.2,M,winter,v-neck,full,empire,polyster,?,lace,patchwork,2
366,Brief,Average,4.8,free,winter,v-neck,halfsleeve,natural,polyster,broadcloth,?,solid,1
367,Brief,Average,4.9,free,Winter,o-neck,sleevless,natural,?,?,?,solid,1
368,Sexy,Average,4.8,S,Winter,v-neck,sleevless,empire,polyster,chiffon,lace,solid,1
369,Casual,Average,4.7,L,Winter,o-neck,sleevless,natural,polyster,chiffon,?,patchwork,1
370,vintage,Average,4.7,M,Summer,v-neck,short,natural,rayon,?,beading,print,1
371,Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,1
372,Sexy,Low,4.7,M,Winter,v-neck,sleevless,natural,polyster,?,?,striped,1
373,Casual,Average,5,s,Spring,turndowncollor,full,empire,cotton,worsted,?,solid,1
374,Casual,Low,1,M,Spring,o-neck,halfsleeve,?,?,chiffon,?,?,1
375,Sexy,Average,4.1,free,Summer,v-neck,sleevless,natural,cotton,?,lace,?,2
376,Casual,Low,4,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,hollowout,print,1
377,work,Average,4.7,M,Spring,v-neck,sleevless,?,?,?,?,?,2
378,cute,Average,4.6,free,Spring,v-neck,full,natural,cotton,chiffon,?,solid,2
379,Casual,Low,5,M,Spring,o-neck,sleevless,natural,spandex,jersey,?,print,1
380,Casual,Average,4.7,M,Automn,v-neck,sleevless,natural,?,chiffon,?,striped,2
381,Casual,low,4.6,free,winter,o-neck,full,natural,polyster,?,applique,solid,1
382,Casual,Average,4.5,L,Summer,o-neck,short,natural,cotton,jersey,pockets,solid,1
383,cute,Average,4.6,M,Automn,o-neck,thressqatar,natural,silk,chiffon,sashes,print,1
384,Casual,Low,4.6,free,Automn,o-neck,halfsleeve,natural,chiffonfabric,chiffon,?,leapord,2
385,Casual,Low,4.7,L,Summer,?,sleevless,?,cotton,?,?,solid,2
386,Sexy,Low,0,L,Summer,o-neck,sleevless,empire,sill,?,?,striped,1
387,bohemian,Average,4,free,Winter,o-neck,sleevless,natural,polyster,chiffon,ruffles,striped,1
388,Casual,low,4.7,free,Summer,o-neck,full,natural,cotton,?,?,solid,2
389,work,Average,0,M,Summer,v-neck,sleevless,natural,cotton,worsted,?,solid,2
390,bohemian,Average,4.1,free,Summer,o-neck,thressqatar,?,?,?,hollowout,?,1
391,Casual,Average,0,M,Spring,o-neck,halfsleeve,natural,?,?,lace,?,1
392,Brief,Low,4.6,M,Summer,o-neck,short,natural,cotton,?,?,animal,1
393,cute,Low,0,free,Spring,v-neck,sleevless,empire,chiffonfabric,chiffon,?,?,2
394,Casual,Average,5,M,Spring,o-neck,thressqatar,?,spandex,?,?,?,1
395,Casual,Low,5,free,winter,o-neck,full,natural,wool,?,applique,solid,1
396,vintage,Average,4.5,L,winter,o-neck,short,empire,?,?,sequined,patchwork,2
397,Casual,Average,4.5,free,Summer,o-neck,short,natural,polyster,?,?,solid,1
398,bohemian,Low,4.4,L,Summer,bowneck,short,natural,cotton,?,?,dot,1
399,Casual,high,0,L,winter,v-neck,thressqatar,natural,polyster,?,ruffles,solid,2
400,Casual,Average,4.8,free,winter,o-neck,sleevless,?,polyster,?,sashes,solid,1
401,Brief,Low,4.7,M,Winter,o-neck,full,natural,cotton,?,?,patchwork,1
402,Casual,Medium,0,free,Winter,bowneck,full,?,cashmere,knitted,?,solid,2
403,Casual,Average,4.7,M,Winter,o-neck,short,empire,polyster,shiffon,?,animal,1
404,party,Average,0,M,Summer,o-neck,full,natural,cotton,?,?,patchwork,2
405,bohemian,Average,4.8,S,Summer,v-neck,short,natural,cotton,?,?,solid,1
406,Sexy,Average,4.9,free,Summer,sqare-collor,sleevless,natural,polyster,?,sashes,print,1
407,Casual,Average,3,M,Spring,turndowncollor,short,empire,polyster,?,sashes,patchwork,1
408,Casual,low,4.7,L,Automn,o-neck,short,natural,polyster,shiffon,?,patchwork,2
409,Casual,Average,4.3,M,Automn,o-neck,sleevless,natural,polyster,?,plain,solid,1
410,Casual,Average,0,XL,Winter,v-neck,short,empire,polyster,shiffon,pockets,solid,2
411,Casual,Low,5,free,Summer,o-neck,sleevless,natural,model,jersey,plain,solid,2
412,vintage,Average,0,L,Summer,sqare-collor,short,empire,cotton,chiffon,?,dot,2
413,Casual,Low,4.7,free,winter,o-neck,sleevless,natural,milksilk,?,?,animal,1
414,vintage,Average,5,M,Summer,v-neck,thressqatar,natural,polyster,?,?,print,1
415,Casual,Low,4.7,L,Summer,o-neck,full,natural,mix,worsted,lace,patchwork,2
416,bohemian,Average,4.6,M,Spring,o-neck,sleevless,natural,shiffon,shiffon,sashes,solid,1
417,party,Average,4.8,M,Summer,o-neck,full,?,cotton,?,?,solid,2
418,bohemian,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,1
419,party,very-high,4.6,free,Summer,o-neck,sleevless,empire,rayon,?,hollowout,solid,1
420,cute,Low,4.8,M,Spring,o-neck,short,natural,shiffon,shiffon,bow,dot,2
421,vintage,Average,0,M,Spring,o-neck,halfsleeve,empire,polyster,?,lace,animal,1
422,Casual,Medium,4.9,L,Winter,o-neck,short,natural,cotton,broadcloth,sashes,solid,1
423,Casual,Average,4.2,free,Summer,o-neck,sleevless,natural,cotton,worsted,?,striped,2
424,Casual,Average,4.9,M,Summer,o-neck,short,dropped,cotton,?,ruffles,patchwork,1
425,bohemian,Low,5,XL,Spring,v-neck,thressqatar,natural,?,shiffon,?,print,2
426,Casual,Average,4.7,M,Summer,o-neck,sleevless,?,cotton,?,?,dot,1
427,Casual,Average,0,free,Summer,bowneck,halfsleeve,?,cotton,?,?,?,1
428,Casual,Average,0,free,Summer,o-neck,sleevless,natural,cotton,?,lace,floral,1
429,Sexy,Medium,0,free,winter,o-neck,sleevless,natural,polyster,?,sequined,solid,1
430,Sexy,low,4.4,free,Automn,v-neck,sleevless,natural,cotton,worsted,lace,solid,1
431,Sexy,Average,0,free,Spring,v-neck,full,natural,cotton,wollen,lace,solid,2
432,Brief,Average,4.9,XL,Spring,slash-neck,full,natural,?,?,sashes,solid,1
433,Casual,Average,4.7,XL,Summer,v-neck,halfsleeve,natural,?,broadcloth,?,print,2
434,Casual,Average,0,free,Automn,v-neck,full,natural,cotton,?,lace,solid,1
435,Casual,Average,4.8,M,Summer,v-neck,full,natural,?,shiffon,?,?,1
436,Casual,Medium,4.9,L,Spring,sqare-collor,sleevless,empire,?,?,?,print,1
437,party,Average,4.7,M,Spring,o-neck,halfsleeve,empire,?,shiffon,?,patchwork,1
438,Sexy,low,4.4,free,Summer,bowneck,sleevless,natural,viscos,?,bow,solid,1
439,bohemian,Low,4.6,free,winter,o-neck,sleevless,empire,polyster,?,?,patchwork,2
440,Casual,Low,4.6,free,Autumn,o-neck,full,natural,rayon,?,lace,solid,2
441,Sexy,Low,4.5,free,Summer,o-neck,sleevless,empire,cotton,?,sashes,solid,2
442,Sexy,Low,0,free,winter,v-neck,?,dropped,cotton,?,lace,?,2
443,Casual,Average,0,XL,Spring,bowneck,sleevless,natural,mix,?,lace,solid,1
444,Sexy,Average,0,free,Autumn,o-neck,full,natural,polyster,sattin,hollowout,solid,1
445,Sexy,Low,4.8,free,Spring,v-neck,sleevless,natural,?,?,?,striped,2
446,Brief,Low,4.7,free,Autumn,o-neck,sleevless,natural,?,shiffon,sequined,solid,1
447,Sexy,high,5,M,Summer,v-neck,sleevless,natural,mix,?,?,striped,1
448,Casual,Average,4.6,L,Summer,bowneck,full,dropped,cotton,?,?,patchwork,1
449,cute,Medium,4.9,S,Summer,bowneck,sleevless,empire,?,?,bow,patchwork,2
450,Novelty,Average,4.9,M,Autumn,o-neck,short,natural,polyster,chiffon,none,print,1
451,Casual,Low,4.3,free,Spring,o-neck,full,?,?,chiffon,sashes,none,2
452,Casual,Low,4.7,S,Autumn,o-neck,sleevless,natural,cotton,?,?,solid,1
453,Casual,Average,4.8,L,Autumn,boat-neck,sleevless,natural,?,?,sashes,solid,1
454,cute,Average,4.5,L,winter,v-neck,sleevless,natural,polyster,jersey,sashes,solid,2
455,Casual,Average,4.4,free,Summer,o-neck,capsleeves,natural,cotton,?,?,solid,1
456,party,Average,0,M,Spring,o-neck,sleevless,?,?,chiffon,?,solid,2
457,Sexy,Low,0,free,Summer,v-neck,sleevless,dropped,?,?,?,?,2
458,Casual,Low,4.8,L,Summer,v-neck,thressqatar,natural,cotton,?,?,print,1
459,work,Average,5,M,Summer,o-neck,sleveless,natural,?,?,?,solid,2
460,Novelty,Average,5,free,Summer,o-neck,sleeveless,natural,?,?,?,print,1
461,Casual,Low,4.6,free,Spring,v-neck,sleevless,natural,silk,chiffon,draped,solid,1
462,Casual,Average,4.5,M,Summer,o-neck,full,natural,cotton,?,lace,solid,1
463,Casual,Average,4.5,L,Spring,boat-neck,thressqatar,natural,?,dobby,lace,animal,2
464,Casual,Average,4.5,free,Autumn,o-neck,halfsleeve,natural,cotton,chiffon,hollowout,solid,2
465,cute,Low,0,M,Summer,boat-neck,short,?,?,chiffon,sashes,?,1
466,party,Average,4.9,M,winter,o-neck,halfsleeve,?,cotton,?,lace,?,2
467,Casual,Average,4.8,M,Summer,o-neck,halfsleeve,?,?,?,?,?,1
468,Casual,Low,4.4,L,Summer,o-neck,sleevless,natural,cotton,chiffon,?,solid,1
469,Casual,Average,4.3,M,winter,slash-neck,sleeveless,natural,polyster,?,sashes,solid,1
470,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,polyster,broadcloth,lace,solid,1
471,Sexy,Average,0,S,Summer,v-neck,sleevless,?,?,?,?,?,2
472,Casual,Low,4.4,free,Summer,o-neck,sleevless,?,?,?,?,animal,1
473,cute,high,4.3,M,Spring,boat-neck,full,natural,polyster,terry,lace,solid,2
474,work,Average,4.8,M,winter,turndowncollor,full,natural,?,?,?,solid,1
475,Casual,Average,4.6,M,Spring,o-neck,halfsleeve,natural,polyster,?,lace,solid,1
476,Sexy,Low,0,free,Summer,v-neck,sleevless,empire,cotton,?,?,solid,1
477,Casual,high,4.9,XL,winter,v-neck,full,empire,cotton,?,sequined,solid,1
478,Sexy,Low,0,free,winter,o-neck,sleevless,natural,lycra,chiffon,hollowout,solid,1
479,cute,Average,5,M,Autumn,v-neck,sleevless,natural,cotton,?,?,solid,1
480,cute,Low,0,free,Spring,v-neck,sleevless,natural,silk,worsted,lace,patchwork,2
481,Casual,Low,4.4,free,Summer,o-neck,full,natural,cotton,?,pockets,solid,1
482,Casual,Average,0,L,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,sequined,solid,1
483,cute,Average,4.7,M,Spring,o-neck,full,natural,rayon,chiffon,beading,solid,2
484,Casual,Average,4.6,M,winter,v-neck,halfsleeve,natural,silk,chiffon,sashes,solid,2
485,Casual,Low,4.4,free,Summer,o-neck,full,natural,cotton,?,?,solid,2
486,Casual,Low,5,M,Automn,o-neck,sleevless,empire,?,chiffon,?,print,2
487,Casual,Average,0,free,winter,o-neck,short,natural,polyster,chiffon,cascading,solid,1
488,Sexy,Average,0,free,winter,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,2
489,Casual,Low,4.4,M,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,solid,1
490,cute,Average,0,L,Summer,o-neck,sleevless,empire,cotton,?,lace,solid,2
491,Casual,Low,4.8,free,winter,bowneck,full,natural,polyster,chiffon,bow,solid,1
492,Casual,Average,5,L,Summer,o-neck,sleevless,natural,cotton,?,?,?,2
493,cute,Average,4.6,M,Spring,o-neck,halfsleeve,natural,acrylic,chiffon,?,?,1
494,bohemian,Low,4.6,free,Summer,o-neck,sleevless,natural,cotton,chiffon,none,solid,2
495,Brief,Average,4.7,M,winter,o-neck,halfsleeve,natural,acrylic,chiffon,?,striped,1
496,Casual,Low,4.7,M,Spring,o-neck,full,natural,polyster,?,?,solid,2
497,Sexy,Low,4.3,free,Summer,o-neck,full,empire,cotton,?,?,?,1
498,Casual,Average,4.7,M,Summer,v-neck,full,empire,cotton,?,lace,solid,2
499,Casual,Average,4.6,L,winter,boat-neck,sleevless,empire,silk,broadcloth,applique,print,2
500,Casual,Low,4.4,free,Summer,v-neck,short,empire,cotton,Corduroy,lace,solid,1